INFO: [SIM 2] *************** CSIM start ***************
   Compiling ../../../../../lms_filter_tb.cpp in debug mode
   Compiling ../../../../../lms_filter.cpp in debug mode
   Generating csim.exe
Sample | x_in     | d_in     | e_out
-------|----------|----------|---------
     0 |   0.5000 |   0.5000 |   0.5000
     1 |   0.5063 |   0.5063 |   0.4988
     2 |   0.5126 |   0.5126 |   0.5040
     3 |   0.5188 |   0.5188 |   0.5079
     4 |   0.5251 |   0.5251 |   0.5104
     5 |   0.5314 |   0.5314 |   0.5113
     6 |   0.5376 |   0.5376 |   0.5029
     7 |   0.5439 |   0.5439 |   0.5009
     8 |   0.5501 |   0.5501 |   0.4974
     9 |   0.5564 |   0.5564 |   0.4922
    10 |   0.5626 |   0.5626 |   0.4855
    11 |   0.5688 |   0.5688 |   0.4696
    12 |   0.5750 |   0.5750 |   0.4603
    13 |   0.5811 |   0.5811 |   0.4495
    14 |   0.5873 |   0.5873 |   0.4374
    15 |   0.5934 |   0.5934 |   0.4165
    16 |   0.5995 |   0.5995 |   0.4025
    17 |   0.6055 |   0.6055 |   0.3886
    18 |   0.6116 |   0.6116 |   0.3746
    19 |   0.6176 |   0.6176 |   0.3605
   180 |   0.6236 |   0.6236 |  -0.0090
   181 |   0.6176 |   0.6176 |  -0.0032
   182 |   0.6116 |   0.6116 |  -0.0053
   183 |   0.6055 |   0.6055 |  -0.0071
   184 |   0.5995 |   0.5995 |  -0.0088
   185 |   0.5934 |   0.5934 |  -0.0102
   186 |   0.5873 |   0.5873 |  -0.0041
   187 |   0.5811 |   0.5811 |  -0.0061
   188 |   0.5750 |   0.5750 |  -0.0078
   189 |   0.5688 |   0.5688 |  -0.0091
   190 |   0.5626 |   0.5626 |  -0.0031
   191 |   0.5564 |   0.5564 |  -0.0052
   192 |   0.5501 |   0.5501 |  -0.0071
   193 |   0.5439 |   0.5439 |  -0.0085
   194 |   0.5376 |   0.5376 |  -0.0098
   195 |   0.5314 |   0.5314 |  -0.0038
   196 |   0.5251 |   0.5251 |  -0.0059
   197 |   0.5188 |   0.5188 |  -0.0074
   198 |   0.5126 |   0.5126 |  -0.0089
   199 |   0.5063 |   0.5063 |  -0.0102

PASS — filter converged, error < 0.05 after 150 samples
INFO [HLS SIM]: The maximum depth reached by any hls::stream() instance in the design is 1
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
